,documentid,paymentid,amount,date,vendor_names,vendor_address
66,00d0648982621,00p0264398028,17.7,17581,AEONCOMHD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
67,00d0530467663,00p0766439337,4.0,17675,GUARDIANHEALTHANDBEAUTYSDNBH,NO 15 JALAN BAMDAR RAWANG 10 ABNDAR BARU RAWANG
68,00d0449236994,00p0685888573,21.4,17447,TRISHAASSDNBHD,"4-20, JALAN RIA 255/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SRLANGOR"
69,00d0288011947,00p0295207206,1.1,17676,GERBABGALAFRESGTAURANTSSDNNBHD,"LEVEL 6, BANUGNAN TH,DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETA ING JAYA SELANGOR"
70,00d0837897960,00p0497880322,53.5,17683,LIANCHIPUTIANVEGETARIANRESTAURANTSDNBHD,"54,JALAN SS23/11 TAMAN SEA,47400 PETALING JAYA,SELANGOR"
71,00d0266548523,00p0113258314,99.78,17417,KIKQOHANDELSDNBHD,NO 2A JALAN COCHRNAE TAMAN MALURI 551000 KUALA LUMPUR
72,00d0114026522,00p0156234747,12.72,17544,SARIKATPERNIAGAANGINKEE,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR."
73,00d0945045450,00p0396091414,41.5,17642,METAIINIITALSDNBHD,"NO.37-1, PLAZA DANAU DESA 2, JALAN 1010F, TAMAN DANAU DESA, 58100 KUALA LUMPUR."
74,00d0158328888,00p0468345627,88.2,17595,UNIHAKKAINTERNATIONAKLSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BABRU,JOHOR"
75,00d0388872730,00p0952103823,9.74,17842,DIMILIKIOLEHTPLUSFBSDNBHD,"PARADIGM MAKLL LOT NO.: 4F-27 & 4FK-38, 4TH FLOOR"
76,00d0760612254,00p0606612760,11.8,17837,PPOPULARBOOKCOMSDNBHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYXIA AMPANG POINT CENTRE"
77,00d0975647472,00p0733503960,339.87,17462,GARDENIABAKERIESKLDNBHD,"LOT 3, JALZZAN PELABUR 23/1, 40300 SHAHALAM, SELANGOR."
78,00d0678943517,00p0868921215,39.9,17619,TONMOLYVIVACITY,"UNIT L1-044B, VIVACITY MEGAMALL, JALAN UAN SALWI, 93350 KUCHING, SARAWAK."
79,00d0749169797,00p0421489461,41.44,17406,GARDENIABAKERIESKLSDNBHD,"OT 3, JALAN PELABUDR23/1, 40300 SHAH ALAM, SELANGOR."
80,00d0202261292,00p0572402856,2650.0,17449,ELKENSERVICCESDNHD,NO 2-1 JALAN 3/137B BATU 5 JALAN KELANG LAMA 580000 KUZAL A LUMPUR
81,00d0582681704,00p0141747649,29.8,17652,FUNNCHEERMALURI,"LOT 37636 , JALAN 6/37A, TAMAN BUKIT MALURI , 52100 KUALA LUMPU"
82,00d0911031443,00p0930146937,0.0,17808,BHPETROLPERMASJAYA,"LOT PTD 101051 JALAN PERMAS 10/10 81750 MASAI, JOHOR"
83,00d0685723809,00p0488512748,9.5,17640,RCVENTURESDNBHD,"LOT-18A-2, BERJYAA TIMES SQUARE, KUALA LUMPUR."
84,00d0891802782,00p0395064343,2.8,17511,RESTIORANWANSHENG,"NO. 2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
85,00d0887482293,00p0455158412,51.2,17296,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALAN  PELBUR 23/1, 40300 SHAH ALAM, SELANGOR."
86,00d0202365816,00p0890122898,119.7,17605,MRDIYKUCHAISDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAASANPERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
87,00d0485758378,00p0675676803,133.25,17563,SYARIKATPERNIAGAANGINKEE,"NO 290, JALAN AIRR PANWS, SETAPAK, 53200, KUALA LUMPUR."
88,00d0384870576,00p0143181640,41.95,17549,BHPETROLSUBANGAIRPORT,JALAN LAPANGAN TERBANG ZSUBANG 4720 SUBANG SELANGOR
89,00d0237756126,00p0406807023,8.7,17362,SANYUZTATIONERYSHOP,"NO. 31G&33G, JAALN SETIA INDAH X ,U13/X 4 0170 5ETIQA ALAM"
90,00d0737345187,00p0131088902,7.5,17199,KIMGSCONFECTIONERYSB,"LOT NO. G23, GIANT KELANA JAYA LOT PT244, JLN PERBANDARAN S6/4 PUSAT BANDAR KELANA JAYA, PETALING"
91,00d0782503250,00p0472611138,30.9,17649,DOMINOSPIZA,"DOMINO'S PIZZA TAMMAN UNIVERSITI 30, JLN  KEBUDAYAAN 7, TMN UNIVERSITI 81300 SKUDAI, JOHOR"
92,00d0396057665,00p0505228756,83.0,17613,ADVANCOCOMPANY,"NO 1&3, JALAN WAGNSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR"
93,00d0785646736,00p0541259561,4.8,0,RESTORANWANSHENG,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR M AHKOTA CHERAS, 43200 CHERAS, SELANGOR"
94,00d0354051709,00p0287204728,374.2,17564,LEEWAHFLORIISTSDNBHD,"129, JALAN TUN H.S LEE, 50000 KUALA LU MPUR."
95,00d0929882897,00p0685777448,42.18,0,GARDENIABAKERIESKLSDNBHD,"LOT 3, A JLAN PELABUR 23/1, 40300 SAH ALAM, SELANGOR."
96,00d0511840834,00p0790633732,3.9,17457,MRDITSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERII KEMBANGAN, SELANGOR"
97,00d0627357411,00p0476388910,14.99,17614,MRDIMSDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWAASAN PERINDUSTRIAN BALAKONG,43300 SERI KEMBANGAN, SELANGOR"
98,00d0192025858,00p0326364881,19.32,0,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALANPLABUR 23/1, 40300 SHAH ALAM, SELANGOR."
99,00d0889453684,00p0880117618,55.15,17838,POPULARBOOKCOMSDNBHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSI."
100,00d0358154075,00p0879802402,2.9,17358,SANYUSTATIONERYSHOP,"NO. 31G&3G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
101,00d0871332887,00p0499564866,174.9,17607,KEDAIPAPPANYEWCHUA,"LOT 276 JALAN BANTING 43800 DENGKIL, SELANBGOR."
102,00d0799986048,00p0608772782,104.0,17778,GLHANDICRAFTTAIIORING,"19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA"
103,00d0233173701,00p0323056253,11.25,17639,BRERYSCAKEHOUSE,"NO.1, JON PUERI 1/6, BANDAR PUTERI, 47100 PUCHONG, SELANGOR"
104,00d0201833623,00p0324871412,73.3,17523,IKKANOHANDELSDNBH,NO 2A JALAN COCHRNAE TAMAM MALURI 55100 KUALA LUMPUR
105,00d0477553790,00p0121022990,148.0,17362,KSTATIONERYOFFICESUPPLIES,"NO.9, JALAN MANIS 3, TAMAN SEGAR CHERAXS, 56100 KUALA LUMPUR."
106,00d0532350198,00p0316824870,176.0,17777,RESTAURAANTSINDU,"K3-113, JL IBRAHIM SULTAN 80300 JOHOR BAHRU JOHOR"
107,00d0196984382,00p0871887790,111.9,0,COSWAYMSDNBHD,"2ND FLOR, WISNA COSWAY, JALAN RAJA CHULAN, 0520 KUALA LUMPUR, MAKLAYSIA."
108,00d0568013096,00p0593273757,28.45,17565,GERBANGALAERESTAURANTSSDNGHD,"LEVEL 6, BANGUNAN TH, DAMANSARSA UPTOWN3 NO.3, JALAN SS21/39, 47400PETALING JAYA SELANGOR"
109,00d0416368925,00p0844243948,14.1,17529,SAMSAMTRADINGCO,"67,JLN MEWAH 255/63 TMN SRI MUDA, 40400 ZHAH ALAM."
110,00d0119878906,00p0475075321,6.7,17748,OMINOSPIZATAMANUNIVERSITI,"30, JLN KEBUDAAYAN 7, TMN UNIVERSIT I 81300 SKUDAI, JOHOR"
111,00d0721665358,00p0428826590,270.0,17686,SELASIHEKSLUUSIFSDNBHD,88 JALAN IBRAHIM SULTAN STULANG LAUT 80300 JOHOR BAHRU
112,00d0225816395,00p0798758050,7.1,17395,GARDEINABAKERIESKLSDNNHD,"LOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SELANGOR."
113,00d0164592408,00p0832340464,56.0,17654,RSTROANWANSHENC,"NO.2, JAPLAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 432000 CHERAS,SELANGOR"
114,00d0375035482,00p0789905639,51.9,17778,ENWHARDWARECENTREMSDNBHD,"NO: G3, BLK G, JLN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SEKANGOR DARUL EHSAN."
115,00d0973066652,00p0929343672,327.0,18201,SOONHUATMACHINERYENTERPRISE,"NO.53 JALAN PUTRA 1, TAMAN SRI PURA, 8120 JOHOR BAHRU JOHORR"
116,00d0558270937,00p0929145824,8.2,17630,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHORBAHRU,JOHOR"
117,00d0400479663,00p0585305120,44.73,17622,SYARIKATPERNIAGAANGINKEE,"NO 290, JALAN AIR PANAS, 5ETAPAK, 53200, KUALA LUMPUR."
118,00d0676485252,00p0410626928,7.6,17612,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPIO,8120 JOHOR BAHRU,JOHOR"
119,00d0948483091,00p0456014834,12.5,16913,MRDIYKUCHAISDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAAWSAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
120,00d0876488640,00p0891541643,3.0,0,MRDIYKUCHAAISDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, AWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
121,00d0879733105,00p0406860767,78.3,17011,ECOSEAYCOMSDNBHD,"2ND FLOOR, WISMA COSWAY, JALAN RAJA CHULAN, 50200 KUALA LUMPUR, MALAYSIA."
122,00d0705950948,00p0771144945,46.6,17388,GADRENIABAKERIESKLSDNBHD,"LO 3, JALAN PELABUR 23/1, 40300 SHAH APAN, SELANGOR."
123,00d0641642649,00p0253348338,41.85,17245,BBESTRESTARUANT,"NO.12, JALAN S4C/5,PETALING JAYA SELANGOR DARUL EHSAN"
124,00d0449498451,00p0846025533,3.1,17608,GEBRANGALAFRESTAURANTSSDNBHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA  SELANGOR"
125,00d0627737900,00p0429607399,28.9,17468,SUBANGHEALTHCZRESDNBHD,"B-8, JALAN SS15/4D, 47500 SUBANG JYA, SELANGOR"
126,00d0453226524,00p0609332035,191.2,17300,BENEDSPSCDNBHDD,"NO.49, JALAN DINNAR G U3/G, S UBANG PERDANA, 40150SHHA ALAM, SEOANGOR D.E."
127,00d0218523505,00p0483119183,24.83,17372,GARDENIABAKERIESKLSDNBHD,"LOT 3, JALANPELABUR 023/1, 403U0 SHAH ALAM, SELANGOR."
128,00d0258506946,00p0373031050,142.0,17747,THECOFFEEBEANTEALEAFSDNBHD,"LOT F36, FIRST FLOOR, AEON MAL BDR DATO' ONN, NO.3 JLN DATO' ONN 3, BDR DATO' ONN81100 JOHOR BAHRU, JOHOR"
129,00d0717257644,00p0740502978,722.0,17171,SYYSTATIONERY,"MO. 36G JALAN BULAN BM U5/BM, BANDAR PINGIRAN SUBANG, SEKSYEN U5, 40150 SHAHH ALA, SELANGOR."
130,00d0316894686,00p0126236824,7.19,17776,LIMSENGTHOHARDWARETRADING,"NO 7, 8IMPANG OFF VATU VILLAGE, JALAN IPOH BATU 5, 51200 UALA LUMPUR MALAYSIA"
131,00d0401609886,00p0332022628,34.21,17461,GARDENIABAKERISEKLSDNBHD,"LOT 3, JALAN PELABUR 33/1, 40300 SHAH ALAM, SELANGOR."
132,00d0774018859,00p0338190731,4.25,17866,PRONTEXPERTSDNBHD,"NO 18, 20, 22, JALAN BUNGA TANJONG 3/16, 40000 SHAH ALAM,  SELANGOR"
133,00d0183401385,00p0778877603,587.8,17807,WARAKUYAPERMASCITYSDNBHD,JALAN PERMAS UTARA 1 PERMASS JAYA 81750 MASAI JOHOR
134,00d0270792056,00p0396596494,25.0,17671,FRMASILIGAMAS,"NO. 47, JALAN MERANTI 1A, BANDAR BARU UTAMA, 44300 BATANG KALI, SELANGOR."
135,00d0497274391,00p0178142255,8.7,17326,SWANYUSTATIONERYSHOP,"NO. 31G&33G, JALAN SETIA INDH X,U13/X 40170 SETIA ALM"
136,00d0773577731,00p0569716400,53.9,17606,MRDIYKHCUHAIDNBHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERRINDUST RIAN BALAKONG, 4330 SERI KRMBANGAN, SELANGOR"
137,00d0844818369,00p0738284804,88.0,17658,UNIHAKKAINTERNATIONALSDNBHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOOR"
138,00d0390662905,00p0298874640,77.2,17868,BENSINDEPENDENTGROCERSDNBHD,"LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR"
139,00d0271842165,00p0380985762,270.3,17867,SYARIKATPERNIAGAANGINKEE,"NO 2910, JALAN AIR PNAS, SETAPAK, 5320, KUALA LUMPUR."
140,00d0601744334,00p0727962579,36.55,17434,GADRDENIABAKERIESKLSDNBHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
141,00d0834036599,00p0457825841,12.0,17617,LIANHINGSTATIONERYSDNBHD,"NO.32 & 33, J ALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN"
142,00d0617357249,00p0815486598,969.9,17678,AEONCOMBHD,"3RD FLR, AEON TAMAN MALURI SC J LN JEJWKA, TAMAN MALURI CHERAS, 51500 KUALA LUMPUR"
143,00d0328708236,00p0164478029,248.55,17436,ASOELECTRICALTARDINGSDNBHD,"NO 31G, JALAN SEPADU C 25/C, SECTION 25, TAMAN INDUSTRIES, AXIS 4040 SHAH ALAM, SELANGIR."
144,00d0286887687,00p0939582306,47.7,17268,SYARIKATPERNIAGAANGINKEE,"NO290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR"
145,00d0776440475,00p0197654311,8.7,17443,SANYUSTATIONERSHOP,"NO. 31G&33G, JALAN SETIA INDAH X ,U13 /X 40170 SETIA ALAM"
146,00d0881334709,00p0458467488,4.9,17549,TOHENGSTATIONERYBOOKS,"NO. 53, JALAN BRESAR, 456000 BATANG BERJUNTAI SELANGOR DARUL EHSAN"
